neo4j_id,name,type,reason
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:126,|March 1,period,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:739,|Sarah Brown Woodruff,person,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:966,|Smithfield,people,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1100,"|May 28, 1907",period,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1122,|Sarah Emma Woodruff,person,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2004,|Nauvoo,place,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2044,|March 22,period,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2192,|Sioux City,place,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2207,|Joseph Woodruff,person,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2921,|Beulah Augusta Woodruff,person,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3107,|Aphek Woodruff,person,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3915,|March 25,period,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:4170,|Emma Smith,person,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:4381,"|Nov. 30, 1905",period,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:4384,|Clara Martisha Woodruff,person,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:4456,|Abraham Owen Woodruff,person,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:4464,|El Paso,place,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:5217,|David Patten Woodruff,person,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:5325,"|April 4, 1854",period,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:5345,|Sarah Brown,person,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:5386,|Brigham Young Woodruff,person,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:5694,"|May 30, 1859",period,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:6643,|Newton Woodruff,person,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:7475,"|June 1, 1861 |Salt",period,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:7511,| |do,person,leading_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:8344,Escuela Dominical ###,people,markdown_heading
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:8478,Quién efectúa la ordenanza,people,sentence_fragment_es
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:8502,Quién efectúa,person,sentence_fragment_es
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:10303,Sociedad de Socorro ###,people,markdown_heading
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:11985,Entonces Zerahemna,person,sentence_fragment_es
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:12066,Pues Moroni,person,sentence_fragment_es
